หลักทรัพย์,บริษัท,ตลาด,กลุ่มอุตสาหกรรม,หมวดธุรกิจ,ที่อยู่,รหัสไปรษณีย์,โทรศัพท์,โทรสาร,เว็บไซต์,
CHEWA,บริษัท ชีวาทัย จำกัด (มหาชน),mai,อสังหาริมทรัพย์และก่อสร้าง,-,967 ซอยลาดพร้าว 71 แขวงสะพานสอง เขตวังทองหลาง กรุงเทพมหานคร,10310,0-2679-8870-4,0-2679-8874,www.chewathai.com,
CHG,บริษัท โรงพยาบาลจุฬารัตน์ จำกัด (มหาชน),SET,บริการ,การแพทย์,88/8-9 หมู่ที่ 11 ตำบลบางปลา อำเภอบางพลี สมุทรปราการ,10540,0-2033-2900,0-2730-1125,www.chularat.com,
CHIC,บริษัท ชิค รีพับบลิค จำกัด (มหาชน),mai,บริการ,-,เลขที่ 90 ซอยโยธินพัฒนา ถนนประดิษฐ์มนูธรรม แขวงคลองจั่น เขตบางกะปิ กรุงเทพมหานคร,10240,0-2514-7111,0-2514-7114,www.chicrepublicthai.com,
CHO,บริษัท ช ทวี จำกัด (มหาชน),mai,สินค้าอุตสาหกรรม,-,เลขที่ 265 หมู่ 4 ถนนกลางเมือง ตำบลเมืองเก่า อำเภอเมืองขอนแก่น ขอนแก่น,40000,0-4304-3888,0-4304-3899,www.cho.co.th,
CHOTI,บริษัท ห้องเย็นโชติวัฒน์หาดใหญ่ จำกัด (มหาชน),SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม,4/2 หมู่ 3 ถนนสายเอเชีย 43 ตำบลนาหม่อม กิ่งอำเภอนาหม่อม สงขลา,90310,0-7422-2333,0-7422-2300-1,www.kst-hatyai.com,
CHOW,บริษัท เชาว์ ไบรท์ เวนเจอร์ส โฮลดิ้งส์ จำกัด (มหาชน),mai,สินค้าอุตสาหกรรม,-,เลขที่ 2525 อาคารเอฟวายไอ เซ็นเตอร์ 2 ชั้น 10 ยูนิต 2/1007-1008 ถนนพระราม 4 แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร,10110,0-2033-0901-08,0-2033-0909,https://www.chowbright.com,
CI,บริษัท ชาญอิสสระ ดีเวล็อปเมนท์ จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,อาคารชาญอิสสระทาวเวอร์ 2 ชั้น 10 เลขที่ 2922/200 ถนนเพชรบุรีตัดใหม่ แขวงบางกะปิ เขตห้วยขวาง กรุงเทพมหานคร,10320,0-2308-2020,0-2308-2990,www.charnissara.com,
CIG,บริษัท ซี.ไอ.กรุ๊ป จำกัด (มหาชน),mai,สินค้าอุตสาหกรรม,-,1/1 หมู่ 7 ถนนบางคูวัด ตำบลบางคูวัด อำเภอเมือง ปทุมธานี,12000,"0-2976-5290-9, 0-2598-2331-2",0-2976-5023,www.cigpcl.com,
CIMBT,ธนาคาร ซีไอเอ็มบี ไทย จำกัด (มหาชน),SET,ธุรกิจการเงิน,ธนาคาร,44 ถนนหลังสวน แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร,10330,"0-2626-7000,0-2657-3000 ext. 0,0-2638-8000",0-2657-3333,http://www.cimbthai.com,
CITY,บริษัท ซิตี้ สตีล จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,เหล็ก และ ผลิตภัณฑ์โลหะ,88/3 หมู่ 4 ถนนบายพาส ตำบลหนองไม้แดง อำเภอเมือง ชลบุรี,20000,0-3821-4530-2,0-3821-4534,http://www.citysteelpcl.com,
CIVIL,บริษัท ซีวิลเอนจีเนียริง จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,บริการรับเหมาก่อสร้าง,68/12 อาคารซีอีซี ชั้น 7 ถนนกำแพงเพชร 6 แขวงลาดยาว เขตจตุจักร กรุงเทพมหานคร,10900,0-2589-8888-9,0-2589-8886-7,www.civilengineering.co.th,
CK,บริษัท ช.การช่าง จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,บริการรับเหมาก่อสร้าง,"อาคารวิริยะถาวร, 587 ถนนสุทธิสารวินิจฉัย แขวงรัชดาภิเษก เขตดินแดง กรุงเทพมหานคร",10400,"0-2277-0460, 0-2275-0026",0-2275-7029,http://www.ch-karnchang.co.th,
CKP,บริษัท ซีเค พาวเวอร์ จำกัด (มหาชน),SET,ทรัพยากร,พลังงานและสาธารณูปโภค,เลขที่ 587 อาคารวิริยะถาวร ชั้น 19 ถนนสุทธิสารวินิจฉัย แขวงดินแดง เขตดินแดง กรุงเทพมหานคร,10400,0-2691-9720-2,0-2691-9723,www.ckpower.co.th,
CM,บริษัท เชียงใหม่โฟรเซ่นฟูดส์ จำกัด (มหาชน),SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม,149/34 ชั้น 3-4 ซอยแองโกลพลาซ่า ถนนสุรวงศ์ แขวงสุริยวงศ์ เขตบางรัก กรุงเทพมหานคร,10500,"0-2238-4091, 0-2235-9934, 0-2634-0061-4",0-2238-4090,www.cmfrozen.com,
CMAN,บริษัท เคมีแมน จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,ปิโตรเคมีและเคมีภัณฑ์,195/11-12 อาคารเลครัชดา ออฟฟิส คอมเพล็กซ์ 2 ชั้น 10-11 ถนนรัชดาภิเษก แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร,10110,0-2661-9734,0-2260-9176,www.chememan.com,
CMC,บริษัท เจ้าพระยามหานคร จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,เลขที่ 909/1 อาคารซีเอ็มซี ทาวเวอร์ ชั้น 6 ห้อง 601-602 ถนนสมเด็จพระเจ้าตากสิน แขวงดาวคะนอง เขตธนบุรี กรุงเทพมหานคร,10600,0-2468-9000 Ext.1172,0-2460-2080,http://www.cmc.co.th,
CMO,บริษัท ซีเอ็มโอ จำกัด (มหาชน),mai,บริการ,-,4/18-19 ซ.นวลจันทร์ 56 แขวงนวลจันทร์ เขตบึงกุ่ม กรุงเทพมหานคร,10230,0-2088-3888,0-2088-3857,http://www.cmo-group.com,
CMR,บริษัท เชียงใหม่รามธุรกิจการแพทย์ จำกัด (มหาชน),SET,บริการ,การแพทย์,เลขที่ 8 ถนนบุญเรืองฤทธิ์ ตำบลศรีภูมิ อำเภอเมืองเชียงใหม่ เชียงใหม่,50200,0-5399-9777,0-5399-9799,http://www.lanna-hospital.com,
CNT,บริษัท คริสเตียนีและนีลเส็น (ไทย) จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,บริการรับเหมาก่อสร้าง,727 ถนนลาซาล แขวงบางนาใต้ เขตบางนา กรุงเทพมหานคร,10260,0-2338-8000,0-2338-8090,http://www.cn-thai.co.th,
COCOCO,บริษัท ไทย โคโคนัท จำกัด (มหาชน),SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม,108/45 ซอยแจ้งวัฒนะ 20 ถนนแจ้งวัฒนะ ตำบลปากเกร็ด อำเภอปากเกร็ด นนทบุรี,11120,0-2584-1777,-,https://www.thaicoconut.com,
COLOR,บริษัท สาลี่ คัลเล่อร์ จำกัด (มหาชน),mai,สินค้าอุตสาหกรรม,-,เลขที่ 858 หมู่ที่ 2 ซอย 1C/1 นิคมอุตสาหกรรมบางปู ตำบลบางปูใหม่ อำเภอเมืองสมุทรปราการ สมุทรปราการ,10280,0-2323-2601-8,0-2323-2227-8,http://www.saleecolour.com,
COM7,บริษัท คอมเซเว่น จำกัด (มหาชน),SET,บริการ,พาณิชย์,549/1 ถนนสรรพาวุธ แขวงบางนา เขตบางนา กรุงเทพมหานคร,10260,0-2017-7777,-,www.comseven.com,
COMAN,บริษัท โคแมนชี่ อินเตอร์เนชั่นแนล จำกัด (มหาชน),mai,เทคโนโลยี,-,เลขที่ 161 ซอยสุขุมวิท 55 (ทองหล่อ) แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร,10110,0-2120-6252,-,www.comancheinternational.com,
CPALL,บริษัท ซีพี ออลล์ จำกัด (มหาชน),SET,บริการ,พาณิชย์,เลขที่ 313 อาคารซีพี ทาวเวอร์ ชั้น 24 ถนนสีลม แขวงสีลม เขตบางรัก กรุงเทพมหานคร,10500,0-2071-9000,0-2071-8617,www.cpall.co.th,
CPANEL,บริษัท ซีแพนเนล จำกัด (มหาชน),mai,อสังหาริมทรัพย์และก่อสร้าง,-,เลขที่ 85 หมู่ที่ 9 ตำบลหนองอิรุณ อำเภอบ้านบึง ชลบุรี,20220,0-3811-0868-73,0-3811-0874,https://www.cpanel.co.th,
CPAXT,บริษัท ซีพี แอ็กซ์ตร้า จำกัด (มหาชน),SET,บริการ,พาณิชย์,1468 ถนนพัฒนาการ แขวงพัฒนาการ เขตสวนหลวง กรุงเทพมหานคร,10250,0-2067-8999,0-2067-9888,www.cpaxtra.com,
CPF,บริษัท เจริญโภคภัณฑ์อาหาร จำกัด (มหาชน),SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม,"อาคาร ซี.พี. ทาวเวอร์ ชั้น 15, 313 ถนนสีลม แขวงสีลม เขตบางรัก กรุงเทพมหานคร",10500,0-2766-8000,0-2638-2942,www.cpfworldwide.com,
CPH,บริษัท คาสเซ่อร์พีคโฮลดิ้งส์ จำกัด (มหาชน),SET,สินค้าอุปโภคบริโภค,แฟชั่น,899 ถนนเพชรเกษม แขวงบางแค เขตบางแค กรุงเทพมหานคร,10160,0-2455-0300-9,0-2455-0358-9,www.castlepeak.co.th,
CPI,บริษัท ชุมพรอุตสาหกรรมน้ำมันปาล์ม จำกัด (มหาชน),SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม,"ลุมพินีทาวเวอร์ ชั้น 30, 1168/91 ถนนพระราม 4 เขตสาทร กรุงเทพมหานคร",10120,"0-2285-6370-2, 0-2679-9166",0-2285-6369,www.cpi-th.com,
CPL,บริษัท ซีพีแอล กรุ๊ป จำกัด (มหาชน),SET,สินค้าอุปโภคบริโภค,แฟชั่น,700 หมู่ 6 ถนนสุขุมวิทสายเก่า ตำบลบางปูใหม่ อำเภอเมือง สมุทรปราการ,10280,0-2709-5633-8,"0-2709-6033, 0-2709-6044",http://www.cpl.co.th,
CPN,บริษัท เซ็นทรัลพัฒนา จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,"อาคารสำนักงานเซ็นทรัลเวิลด์ ชั้น 31-33, 999/9 ถนนพระราม 1 แขวงปทุมวัน เขตปทุมวัน กรุงเทพมหานคร",10330,0-2667-5555,0-2264-5593,www.centralpattana.co.th,
CPNCG,กองทุนรวมสิทธิการเช่าอสังหาริมทรัพย์ CPN คอมเมอร์เชียล โกรท,SET,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,ชั้น 7-8 อาคาร 1 ไทยพาณิชย์ ปาร์ค พลาซ่า เลขที่ 18 ถนนรัชดาภิเษก แขวงจตุจักร เขตจตุจักร กรุงเทพมหานคร,10900,0-2949-1500,0-2949-1501,www.cpncg.com,
CPNREIT,ทรัสต์เพื่อการลงทุนในสิทธิการเช่าอสังหาริมทรัพย์ CPN รีเทล โกรท,SET,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,เลขที่ 999/9 ถนนพระราม 1 แขวงปทุมวัน เขตปทุมวัน กรุงเทพมหานคร,10330,0-2667-5555 Ext. 1660,0-2667-5590,www.cpnreit.com,
CPR,บริษัท ซีพีอาร์ โกมุ อินดัสเตรียล จำกัด (มหาชน),mai,สินค้าอุตสาหกรรม,-,78 หมู่ 2 ถนนพหลโยธิน (กิโลเมตรที่ 77.5) ตำบลสนับทึบ อำเภอวังน้อย พระนครศรีอยุธยา,13170,0-3535-2685,"0-3572-3323, 0-3572-3332",www.cprgomu.co.th,
CPT,บริษัท ซีพีที ไดร์ แอนด์ เพาเวอร์ จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,วัสดุอุตสาหกรรมและเครื่องจักร,เลขที่ 230/7 ถนนเทศบาลรังรักษ์เหนือ แขวงลาดยาว เขตจตุจักร กรุงเทพมหานคร,10900,0-2954-2590-2,0-2580-6332-4,www.CPTthailand.com,
CPTREIT,ทรัสต์เพื่อการลงทุนในสิทธิการเช่าอสังหาริมทรัพย์ ซี.พี.ทาวเวอร์,SET,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,บริษัท ซีพี แลนด์ รีท โกรท จำกัด เลขที่ 3 อาคารซี.พี.ทาวเวอร์ 2 ถนนรัชดาภิเษก แขวงดินแดง กรุงเทพมหานคร,10400,0-2766-3914,-,https://www.cptreit.com,
CPW,บริษัท คอปเปอร์ ไวร์ด จำกัด (มหาชน),SET,บริการ,พาณิชย์,159/6 อาคารเสริมมิตร ทาวเวอร์ ชั้น 2 ห้อง 201 ? 202 ถนนสุขุมวิท 21 (อโศก) แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร,10110,0-2665-2950-3,0-2665-2954,www.copperwired.co.th,
CRANE,บริษัท ชูไก จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,วัสดุอุตสาหกรรมและเครื่องจักร,เลขที่ 44/88 หมู่ที่ 1 ถนนบางนา-ตราด กม. 22 ตำบลศีรษะจรเข้ใหญ่ อำเภอบางเสาธง สมุทรปราการ,10570,0-2715-0000,0-2715-0055,www.chukai.co.th,
CRC,บริษัท เซ็นทรัล รีเทล คอร์ปอเรชั่น จำกัด (มหาชน),SET,บริการ,พาณิชย์,เลขที่ 22 ซอยสมคิด ถนนเพลินจิต แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร,10330,0-2650-3600,-,https://www.centralretail.com/,
CRD,บริษัท เชียงใหม่ริมดอย จำกัด (มหาชน),mai,อสังหาริมทรัพย์และก่อสร้าง,-,เลขที่ 164/34-36 ถนนช้างคลาน ตำบลช้างคลาน อำเภอเมืองเชียงใหม่ เชียงใหม่,50100,"0-5327-1420, 0-5327-2429",0-5381-8465,www.cmrd.co.th,
CREDIT,ธนาคารไทยเครดิต จำกัด (มหาชน),SET,ธุรกิจการเงิน,ธนาคาร,123 อาคาร วี.วรรณ ทาวเวอร์ ถนนพระราม 9 แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร,10310,0-2697-5300,0-2642-3096,www.thaicreditbank.com,
CSC,บริษัท ฝาจีบ จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,บรรจุภัณฑ์,5 ซอยรังสิต-นครนายก 46 ตำบลประชาธิปัตย์ อำเภอธัญบุรี ปทุมธานี,12130,0-2533-0450-9,0-2974-1114,www.crownseal.co.th,
CSP,บริษัท ซีเอสพี สตีลเซ็นเตอร์ จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,เหล็ก และ ผลิตภัณฑ์โลหะ,475 ถนนพระราม 3 แขวงบางโคล่ เขตบางคอแหลม กรุงเทพมหานคร,10120,0-2291-6314-21,0-2291-3828,www.cspsteel.com,
CSR,บริษัท เทพธานีกรีฑา จำกัด (มหาชน),SET,บริการ,การท่องเที่ยวและสันทนาการ,22 ถนนนวธานี แขวงรามอินทรา เขตคันนายาว กรุงเทพมหานคร,10230,"0-2376-1693-5, 0-2376-1034-6",0-2376-1685,www.navatanee.com,
CSS,บริษัท คอมมิวนิเคชั่น แอนด์ ซิสเต็มส์ โซลูชั่น จำกัด (มหาชน),SET,บริการ,พาณิชย์,329 หมู่ที่ 3 ตำบลบ้านใหม่ ตำบลบ้านใหม่ อำเภอปากเกร็ด นนทบุรี,11120,0-2018-1111,0-2018-1142,www.cssthai.com,
CTARAF,กองทุนรวมสิทธิการเช่าอสังหาริมทรัพย์โรงแรมและรีสอร์ทในเครือฯ,SET,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,เลขที่ 400/22 อาคารธนาคารกสิกรไทย ชั้น 6 และ 12 ถนนพหลโยธิน แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร,10400,0-2673-3999,-,-,
CTW,บริษัท จรุงไทยไวร์แอนด์เคเบิ้ล จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,วัสดุอุตสาหกรรมและเครื่องจักร,เลขที่ 589/71 อาคารเซ็นทรัลซิตี้ทาวเวอร์ ชั้น 12 เอ ถนนเทพรัตน แขวงบางนาเหนือ เขตบางนา กรุงเทพมหานคร,10260,0-2745-6118-30,0-2745-6131-32,www.ctw.co.th,
CV,บริษัท โคลเวอร์ เพาเวอร์ จำกัด (มหาชน),SET,ทรัพยากร,พลังงานและสาธารณูปโภค,เลขที่ 159 ซอยพระรามเก้า 57/1 (วิเศษสุข 2) แขวงพัฒนาการ เขตสวนหลวง กรุงเทพมหานคร,10250,0-2731-7999,-,www.cloverpower.co.th,
CWT,บริษัท ชัยวัฒนา แทนเนอรี่ กรุ๊ป จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,ยานยนต์,"176/1,1480 หมู่ 1 ซอยฟอกหนัง ถนนสุขุมวิท กม.30 ตำบลท้ายบ้าน อำเภอเมือง สมุทรปราการ",10280,0-2703-7880,0-2703-7882,www.cwt.co.th,
D,บริษัท เดนทัล คอร์ปอเรชั่น จำกัด (มหาชน),mai,บริการ,-,เลขที่ 157 ชั้นที่ 2 ถนนรัชดาภิเษก แขวงดินแดง เขตดินแดง กรุงเทพมหานคร,10400,0-2245-7198,-,www.dentalcorpthailand.com,
DCC,บริษัท ไดนาสตี้เซรามิค จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,วัสดุก่อสร้าง,37/7 ถนนสุทธิสารวินิจฉัย แขวงสามเสนนอก เขตห้วยขวาง กรุงเทพมหานคร,10320,0-2276-9275-81,-,www.dynastyceramic.com,
DCON,บริษัท ดีคอนโปรดักส์ จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,วัสดุก่อสร้าง,"ตึกช้าง อาคารบี ชั้นที่ 8, 3300/57 สี่แยกรัชโยธิน ถนนพหลโยธิน แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร",10900,0-2937-3312,0-2937-3328,www.dconproduct.com,
DDD,บริษัท ดู เดย์ ดรีม จำกัด (มหาชน),SET,สินค้าอุปโภคบริโภค,ของใช้ส่วนตัวและเวชภัณฑ์,เลขที่ 32 ถนนเคหะร่มเกล้า แขวงราษฎร์พัฒนา เขตสะพานสูง กรุงเทพมหานคร,10240,0-2917-3055,0-2917-3054,http://www.dodaydream.com,
DELTA,บริษัทเดลต้า อีเลคโทรนิคส์ (ประเทศไทย) จำกัด (มหาชน),SET,เทคโนโลยี,ชิ้นส่วนอิเล็กทรอนิกส์,909 ซอย 9 หมู่ 4 นิคมอุตสาหกรรมบางปู ตำบลแพรกษา อำเภอเมืองสมุทรปราการ สมุทรปราการ,10280,0-2709-3200,0-2324-0243,http://www.deltathailand.com,
DEMCO,บริษัท เด็มโก้ จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,บริการรับเหมาก่อสร้าง,59 หมู่ 1 ตำบลสวนพริกไทย อำเภอเมือง ปทุมธานี,12000,0-2959-5811,0-2959-5816,http://www.demco.co.th,
DEXON,บริษัท เด็กซ์ซอน เทคโนโลยี จำกัด (มหาชน),mai,บริการ,-,เลขที่ 78/4-5 หมู่ที่ 6 ถนนสุขุมวิท ตำบลบ้านฉาง อำเภอบ้านฉาง ระยอง,21130,033-012-484-7,033-012-530,www.dexon-technology.com,
DHOUSE,บริษัท ดีเฮ้าส์พัฒนา จำกัด (มหาชน),mai,อสังหาริมทรัพย์และก่อสร้าง,-,เลขที่ 99 ถนนสารคาม - วาปีปทุม ตำบลตลาด อำเภอเมืองมหาสารคาม มหาสารคาม,44000,0-4372-2000,0-4372-2272,www.dhousepattana.com,
DIF,กองทุนรวมโครงสร้างพื้นฐานโทรคมนาคม ดิจิทัล,SET,เทคโนโลยี,เทคโนโลยีสารสนเทศและการสื่อสาร,ชั้น 7-8 อาคาร 1 ไทยพาณิชย์ ปาร์ค พลาซ่า เลขที่ 18 ถนนรัชดาภิเษก แขวงจตุจักร เขตจตุจักร กรุงเทพมหานคร,10900,0-2949-1500,0-2949-1501,www.digital-tif.com,
DIMET,บริษัท ไดเมท (สยาม) จำกัด (มหาชน),mai,อสังหาริมทรัพย์และก่อสร้าง,-,เลขที่ 602 หมู่ที่ 2 นิคมอุตสาหกรรมบางปู ซอย 1 ถนนสุขุมวิท ตำบลบางปูใหม่ อำเภอเมืองสมุทรปราการ สมุทรปราการ,10280,0-2323-2800-6,0-2323-2807,www.dimetsiam.com,
DITTO,บริษัท ดิทโต้ (ประเทศไทย) จำกัด (มหาชน),SET,เทคโนโลยี,เทคโนโลยีสารสนเทศและการสื่อสาร,235/1-3 ถนนราษฎร์พัฒนา แขวงราษฎร์พัฒนา เขตสะพานสูง กรุงเทพมหานคร,10240,0-2517-5555,0-2517-5434,http://www.dittothailand.com/,
DMT,บริษัท ทางยกระดับดอนเมือง จำกัด (มหาชน),SET,บริการ,ขนส่งและโลจิสติกส์,40/40 ถนนวิภาวดีรังสิต แขวงสนามบิน เขตดอนเมือง กรุงเทพมหานคร,10210,0-2792-6500,0-2552-8065,www.tollway.co.th,
DOD,บริษัท ดีโอดี ไบโอเทค จำกัด (มหาชน),mai,สินค้าอุปโภคบริโภค,-,เลขที่ 111 หมู่ 2 ตำบลท่าจีน อำเภอเมืองสมุทรสาคร สมุทรสาคร,74000,"0-3444-6333, 0-3444-6444",0-3444-0373,www.dodbiotech.com,
DOHOME,บริษัท ดูโฮม จำกัด (มหาชน),SET,บริการ,พาณิชย์,เลขที่ 88/111 หมู่ที่ 3 ตำบลบางพูน อำเภอเมืองปทุมธานี ปทุมธานี,12000,-,-,https://www.dohome.co.th/,
DPAINT,บริษัท สีเดลต้า จำกัด (มหาชน),mai,อสังหาริมทรัพย์และก่อสร้าง,-,55 อาคารเดลต้าเฮ้าส์ ถนนเทียนร่วมมิตร แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร,10310,0-2247-2820-9,0-2247-1676,www.deltapaint.co.th,
DREIT,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์และสิทธิการเช่าดุสิตธานี,SET,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,เลขที่ 319 อาคารจัตุรัสจามจุรี ชั้น 29 ถนนพญาไท แขวงปทุมวัน เขตปทุมวัน กรุงเทพมหานคร,10330,0-2200-9999 Ext. 3681-4,0-2636-3545,www.dtcreit.com,
DRT,บริษัท ผลิตภัณฑ์ตราเพชร จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,วัสดุก่อสร้าง,69-70 หมู่ 1 ถนนมิตรภาพ กม. 115 ตำบลตลิ่งชัน อำเภอเมือง สระบุรี,18000,0-3622-4171-8,0-3622-4185-7,www.dbp.co.th,
DTCENT,บริษัท ดี.ที.ซี. เอ็นเตอร์ไพรส์ จำกัด (มหาชน),SET,เทคโนโลยี,เทคโนโลยีสารสนเทศและการสื่อสาร,63 ซอยสุขุมวิท 68 ถนนสุขุมวิท แขวงบางนาเหนือ เขตบางนา กรุงเทพมหานคร,10260,1176,0-2744-7667,https://www.dtc.co.th,
DTCI,บริษัท ดี.ที.ซี.อินดัสตรี่ส์ จำกัด (มหาชน),SET,สินค้าอุปโภคบริโภค,ของใช้ในครัวเรือนและสำนักงาน,176 ซอยพงษ์เวชอนุสรณ์ ถนนสุขุมวิท 64 แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร,10260,0-2311-1371-6,"0-2331-5615, 0-2311-7796",www.lancerth.com,
DUSIT,บริษัท ดุสิตธานี จำกัด (มหาชน),SET,บริการ,การท่องเที่ยวและสันทนาการ,เลขที่ 319 อาคารจัตุรัสจามจุรี ชั้น 29 ถนนพญาไท แขวงปทุมวัน เขตปทุมวัน กรุงเทพมหานคร,10330,0-2200-9999,-,http://www.dusit.com,
DV8,บริษัท ดีวี8 จำกัด (มหาชน),mai,บริการ,-,15 ซอยพัฒนาการ 56 แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร,10250,0-2321-6999,0-2321-1789,www.dv8.co.th,
EA,บริษัท พลังงานบริสุทธิ์ จำกัด (มหาชน),SET,ทรัพยากร,พลังงานและสาธารณูปโภค,ชั้น 16 อาคารเอไอเอ แคปปิตอล เซ็นเตอร์ เลขที่ 89 ถนนรัชดาภิเษก เขตดินแดง กรุงเทพมหานคร,10400,"0-2248-2488-92, 0-2002-3667-9",0-2248-2493,http://www.energyabsolute.co.th,
EASON,บริษัท อีซึ่น แอนด์ โค จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,ยานยนต์,7/1-2 หมู่ 1 ตำบลพานทอง อำเภอพานทอง ชลบุรี,20160,0-3845-1833,0-3845-1825,www.easonplc.com,
EAST,บริษัท ตะวันออกพาณิชย์ลีสซิ่ง จำกัด (มหาชน),SET,ธุรกิจการเงิน,เงินทุนและหลักทรัพย์,976/1 ซอยโรงพยาบาลพระราม 9 ถนนริมคลองสามเสน แขวงบางกะปิ เขตห้วยขวาง กรุงเทพมหานคร,10310,0-2641-5252,0-2641-5994-5,www.eastautocash.com,
EASTW,บริษัท จัดการและพัฒนาทรัพยากรน้ำภาคตะวันออก จำกัด (มหาชน),SET,ทรัพยากร,พลังงานและสาธารณูปโภค,"อาคารอีสท์วอเตอร์ ชั้น 23-26, 1 ซอยวิภาวดีรังสิต 5 ถนนวิภาวดีรังสิต แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร",10900,0-2272-1600,0-2272-1601,http://www.eastwater.com,
ECF,บริษัท อีสต์โคสท์เฟอร์นิเทค จำกัด (มหาชน),mai,สินค้าอุปโภคบริโภค,-,37/9 หมู่ 10 ถนนบ้านบึง - แกลง ตำบลทางเกวียน อำเภอแกลง ระยอง,21110,"0-3867-1361, 0-3888-6372-4",0-3888-6375,www.eastcoast.co.th,
EFORL,บริษัท อี ฟอร์ แอล เอม จำกัด (มหาชน),mai,สินค้าอุปโภคบริโภค,-,เลขที่ 432 ถนนราชวิถี แขวงบางยี่ขัน เขตบางพลัด กรุงเทพมหานคร,10700,0-2883-0871-9,-,www.eforl-aim.com,
EGATIF,กองทุนรวมโครงสร้างพื้นฐาน โรงไฟฟ้าพระนครเหนือ ชุดที่ 1 การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย,SET,ทรัพยากร,พลังงานและสาธารณูปโภค,1 อาคารเอ็มไพร์ทาวเวอร์ ชั้น 32 ถนนสาทรใต้ แขวงยานนาวา เขตสาทร กรุงเทพมหานคร,10120,0-2686-6100,0-2670-0430,www.ktam.co.th,
EGCO,บริษัท ผลิตไฟฟ้า จำกัด (มหาชน),SET,ทรัพยากร,พลังงานและสาธารณูปโภค,"อาคารเอ็กโก, 222 หมู่ 5 ถนนวิภาวดีรังสิต แขวงทุ่งสองห้อง เขตหลักสี่ กรุงเทพมหานคร",10210,"0-2998-5000, 0-2998-5999",0-2955-0956-9,http://www.egco.com,
